5#a79d93,#a7704b,#3d3331,#747471,#c5bfb7
#ad9f8e,#21191b,#9f836a,#64564e,#c7bead
#b7aa99,#726154,#382a27,#a18263,#cdc7c0
#cabdaf,#594c4b,#8e9790,#281a1c,#a89379
#b89974,#7c5a4b,#cdbca5,#91412d,#2b1c1d
#b5ad9e,#261b1f,#988875,#59494b,#cfcbbf
#d0c5b7,#1f1a1f,#b4a18b,#63565b,#833a30
#b09b85,#1a1317,#743323,#cabca8,#523331
#b79c82,#2f1e23,#6f514e,#cfc1ab,#863f2b
#b89b80,#28181e,#d7c2ad,#5b362e,#896d5b
#c7b19c,#211416,#aa8c7b,#714f4c,#d3c6ba
#ab9f8d,#291d22,#a58968,#6f4a40,#cbbfac
#bca686,#27181d,#97826f,#633c35,#c5b8ab
#9f9484,#4d3d3e,#746962,#c1b7a9,#2a1c20
#beb0a7,#604c4e,#9d8679,#2b1d1f,#d0c9c5
#553a38,#645c52,#2f191e,#84553b,#888472
#a49293,#702a21,#3c1a1d,#a87a62,#d9cdcb
#c09671,#5c4c43,#c9bdb4,#2f2524,#7f7669
#bd876c,#d0c3be,#402e31,#7c7676,#965745
#aa8666,#74635c,#b2a599,#884531,#3f2728
#b89277,#8e3b23,#403435,#cbbbb8,#a7704d
#a1755f,#572625,#833826,#aa9ea3,#453740
#e1d4c1,#70635a,#aaa192,#b3745a,#322625
#e4dcd8,#9e6950,#4d3738,#948a82,#913d22
#ccc5c5,#5e2526,#8e7c7a,#8e4f3b,#422d32
#1a131a,#d0c7c5,#722d29,#997463,#4a1d21
#d3cdc8,#b38e72,#6c584c,#9a472f,#2f2124
#c5beb5,#8b715a,#685e56,#a59789,#382b27
#c5bfb3,#74705e,#a49b89,#af924d,#4c493d
#a9a090,#6a6354,#c2beb3,#3a332b,#a2885e
#f4f1f1,#24181a,#886e5a,#594138,#ba9f87
#aa8a6e,#2e2127,#70706a,#6e4b42,#ad9f97
#d6c5b5,#160f12,#837a61,#522a24,#bd9f83
#b89884,#7d7074,#493033,#cfbcaf,#986754
#181318,#c0ab9c,#4d2927,#956f56,#736e67
#67575a,#772f20,#372023,#908883,#8c5a4a
#ad896a,#171114,#736d5f,#51352d,#b4a091
#c0aa98,#1a151b,#784735,#907d7b,#4c343c
#b4a095,#2d2631,#936b4f,#716571,#543430
#976b54,#797871,#8a3c26,#532c2b,#ac9b95
#997b65,#664838,#bcaca2,#3a1f1a,#7e817f
#ad9283,#a0775c,#331e1e,#c5b5b1,#704f44
#b88766,#2e1d1c,#b59a8b,#7c594b,#d7c5bb
#9a7765,#33292f,#b0a199,#714a40,#737874
#807f75,#463b3c,#bcafa4,#a17c69,#74483b
#aa7d6d,#71544f,#c5aa9e,#382a2e,#838177
#a08b7e,#6a544e,#996e59,#c6b5a6,#36292b
#82897f,#735349,#ae8470,#bcb1a5,#37282a
#a27d64,#a59689,#7e4a39,#d1c3bc,#3b2020
#8f6858,#281e23,#b29482,#603d38,#d1bdb3
#a47462,#492c29,#8f8f88,#605a63,#c8ada1
#ad8468,#c8b2a5,#50302e,#9a583f,#84786e
#4d2424,#666860,#864430,#21171b,#b69982
#a97859,#aa8c75,#4e241e,#7c5845,#cfb29e
#cbbcb7,#a87e65,#391c1e,#81766b,#7d4c38
#755040,#b5947a,#371f1f,#7b1f19,#868c8f
#987d6d,#6c524b,#b9a492,#3b2627,#885540
#b49887,#9c715b,#c9b9b5,#63312d,#737267
#af8668,#6f4a41,#c5b09a,#341d1d,#8a7a6b
#b2998a,#916d5c,#382b2f,#d4c3b9,#693a30
#977a67,#6a6c6f,#6f4b3f,#baada2,#3f2221
#a69481,#5a3b33,#cec0b7,#2b2023,#816a5a
#a28065,#c3b4a7,#4d3b36,#768474,#844b34
#897e72,#956551,#c7baac,#57413f,#ba967d
#1c181e,#887264,#525265,#48312f,#b4a9a2
#a2735a,#21191f,#b8a8a4,#591814,#5e5e69
#ae8266,#746e78,#814630,#c4b2ab,#4d2826
#22181c,#7d6b69,#beaba5,#553a35,#a98066
#ab8d6e,#706c7e,#934f2a,#47342c,#c6b5af
#af8064,#2e2527,#c7aea3,#74786b,#804735
#b37552,#ceac97,#2d1a1d,#674946,#8a7974
#36272c,#c2bbb8,#414d68,#6a5f62,#161417
#94725c,#b8aaa9,#301e22,#555a64,#79462e
#a47a5e,#1e1016,#552a2b,#c29b7f,#bca9a2
#c7b8b1,#773324,#9e715a,#4a3230,#817472
#c1a899,#191011,#8b7670,#6f342f,#d5c5bd
#2f2529,#7a7e80,#9b533e,#b59b86,#565862
#c0a798,#1b0e11,#866258,#d1c5bb,#4c2825
#967061,#23181e,#657a84,#543132,#bfa690
#cfbeac,#3b2022,#a48e78,#5a6169,#7f3e2f
#1e191f,#c6b5a5,#79322a,#54525d,#988577
#b9b2b2,#7e6c68,#5a6e8c,#7d4234,#3c2b34
#9b6e51,#b9b0ac,#48494a,#713524,#a48b75
#9b785a,#d1c1af,#2e2325,#71635d,#b09b87
#b5a08f,#917561,#56443d,#8c4f3d,#ccbfb4
#a2968d,#23191b,#605f68,#86493f,#cec0b4
#c4aa98,#211b22,#733d30,#79756e,#d7c6ba
#39232c,#80594f,#af9b8b,#9b4836,#655e67
#9e7554,#a29180,#535755,#633526,#c8c0be
#2c1f23,#baa99d,#963a25,#44597c,#5f6260
#977562,#121012,#687a7c,#ada496,#3b2626
#bfb2a9,#92422c,#3b2f37,#6f7974,#5f6d87
#4b648d,#b59c8b,#261b1e,#7b7d80,#6a4e49
#5f656d,#2a2228,#a99c98,#5f4644,#53597f
#525a83,#392f35,#b7aaa2,#6a6e71,#8b6453
#a78878,#3c2f30,#b9aca7,#6f726e,#81594e
#b7ab94,#5e4c47,#657f71,#ab8565,#261819
#92583c,#33242a,#b0a09a,#6e625c,#4d5c76
#b39987,#382d32,#a87f61,#6e6b66,#7a4637
#b6937b,#342325,#6f786f,#aa6141,#b7aea7
#877f73,#3a2124,#b0a090,#53555d,#7d574a
#ab8e7a,#120f11,#768379,#372323,#8a6150
#a5794f,#d5c7b7,#665143,#af957b,#2a1b18
#19161a,#b07560,#b2a9b0,#a65d43,#56444b
#ad8254,#ddd1c7,#776252,#bea490,#382c23
#19151a,#be7957,#b8adb0,#594953,#985b44
#261e22,#ac846c,#5b5052,#b8aea9,#ad7455
#1d1b20,#7c7d7c,#484548,#9c5639,#b7b2af
#806154,#9b877b,#5e3b33,#c9b7ae,#2b1719
#221a1d,#aa978b,#5f433e,#7d746b,#d2c6b9
#8a6955,#674537,#a98c76,#3c2523,#c0ab99
#7d6862,#261920,#b79d8d,#5f3731,#a1644e
#8e6950,#25181d,#a23f2e,#b7977b,#5e3d31
#7e5645,#28141d,#b39073,#582b2a,#813d2f
#866457,#2b1b20,#ad8874,#643d34,#c9b09e
#897472,#402b2e,#92402e,#4d6858,#bbaeab
#c7bbaf,#5b2820,#989994,#9c7760,#484444
#586a63,#86655a,#372d2f,#aea096,#4b465b
#4c3734,#6e6c67,#b89d88,#965f4a,#24161a
#635766,#22222d,#b59c91,#2b5047,#985f4c
#6f6468,#242126,#b6a7a0,#622e25,#504860
#c09e81,#322329,#666368,#78493c,#a69a97
#21181f,#af9d95,#6c6462,#8a4f3d,#4a3f45
#916759,#4f1d1d,#706d6c,#bf988c,#2b1b1d
#8d8278,#362324,#baa69c,#845841,#57615c
#a87964,#7c554a,#cf9e83,#482b2b,#73312a
#966762,#421b21,#bd9490,#4a4357,#73372d
#996c61,#2e161c,#676664,#bb8e83,#703b2b
#a58b82,#4a393b,#755f58,#c7b0aa,#221821
#8b5a40,#47322d,#586761,#5e3224,#23181f
#0c0e16,#6c4d48,#462b28,#91716f,#51525d
#8a6652,#643829,#5c6b61,#342122,#b49483
#84695b,#5c3d2f,#ab8b83,#585b52,#281a1a
#976e5e,#271b22,#709098,#5c3830,#546264
#131214,#be887b,#5e3537,#6d6a72,#95584d
#9c7f77,#493732,#745c53,#c2a39c,#24181b
#131117,#806c65,#7c4f40,#b78e83,#4b312d
#787872,#191217,#896046,#54362b,#af8d7b
#906e67,#492f31,#555f65,#c19b93,#753f36
#bb988e,#201921,#5b6b71,#4d2424,#805e53
#141218,#946758,#bd9287,#78726c,#62372c
#a77a69,#6c645b,#783c28,#381d1f,#c5998b
#b08174,#351c21,#783b2f,#d3aaa3,#766261
#946a60,#5c3934,#675e5c,#bc9086,#2e1f22
#c0968f,#9c6e62,#593b35,#8d8a85,#7b392c
#936c69,#422e35,#6b737f,#82443b,#bd8d85
#88594b,#5b302b,#311d23,#6b6867,#a77a71
#7d4b3d,#b48878,#2c2d30,#5e716c,#471f21
#95695f,#2f1f25,#bf988f,#68686d,#633836
#956a65,#443948,#633430,#b7908b,#24141f
#b1968b,#2d2120,#806e62,#434e47,#5e3c2d
#7e5348,#462a2c,#a57465,#645d5e,#633425
#d2aea4,#23181d,#9e726a,#713427,#624747
#818a82,#181217,#6c2a21,#a17f6c,#502f2d
#606467,#4c1a1a,#7d2f1b,#2c1c1f,#87615d
#615f5a,#6b2316,#845340,#321e1f,#9e7d78
#946450,#602924,#8d9890,#361a1f,#b79181
#a16c57,#651314,#5d645f,#250b12,#bd9084
#a27b66,#521d1c,#66695e,#844e38,#2e191c
#b38981,#1e1115,#641b19,#798388,#895c4f
#936a52,#67382c,#6e7876,#b79b90,#3c1518
#947264,#462826,#bd988d,#713f2e,#1f1014
#ba8477,#7f3836,#7f7d7c,#4b202b,#e7c0b4
#5d2220,#757c7d,#2e1a1e,#a88a84,#7d584d
#a68471,#5a1618,#575f59,#8a5f4a,#3a1c1d
#811910,#b98b75,#200b13,#651013,#76857b
#8d7069,#1f1218,#512621,#a98884,#67534b
#ab7960,#68312f,#3c2225,#756d54,#d8a689
#7f5651,#b78d87,#401d21,#888685,#622c25
#695655,#927675,#55302c,#3a3536,#b99d9e
#5f5965,#87757d,#503239,#2e2736,#b1969a
#545d6a,#4b2727,#775959,#2c2939,#958a96
#a88f83,#533532,#d1beb3,#975f4e,#697368
#ac9392,#814538,#796b6b,#433031,#d2b9b7
#636465,#3f1919,#b69b91,#162049,#866761
#8d7570,#505653,#7c422e,#b29390,#4a1d18
#564846,#686d71,#382322,#704a3e,#937871
#ab9096,#70464a,#252f59,#5a6776,#341c21
#401f27,#686165,#302b4d,#7e4138,#ba9489
#647a92,#312025,#622722,#786571,#3a4664
#434f5f,#1e151a,#5a261d,#958393,#6d4f4f
#4c5869,#402020,#718296,#2d2d3c,#6b4c4c
#5c3c3a,#707478,#ac8981,#303b5f,#2f1f23
#343f48,#331113,#826f7a,#0e1d44,#1b1518
#b6908e,#4a5a61,#693937,#281d23,#9d4a39
#491e1d,#454a56,#7a636c,#201621,#734b42
#b19c9d,#70656d,#432d2f,#71878d,#7e5646
#516887,#70362f,#2d1e2a,#8d8399,#675362
#832c23,#636569,#b99997,#1d1922,#642d2c
#dbb6a8,#221820,#c7754d,#828081,#865348
#7e6d6f,#3a1c1c,#515f6d,#1e2329,#aa9393
#615d61,#8f6a63,#2f222b,#607983,#723f2d
#6b7a85,#512f31,#99868d,#7a544d,#3b4363
#4c4656,#331c25,#92737c,#57677c,#603231
#9f7c7c,#48697b,#47252e,#742a20,#ceb3af
#34171b,#947476,#101b46,#394454,#573030
#c5aea7,#646c6d,#511b1b,#282628,#96614c
#997875,#261d22,#c3a4a2,#603f3b,#606c72
#b89487,#2c2431,#767d7c,#d4bbb2,#7a5046
#866b66,#30292c,#ad8c89,#653f35,#c9adad
#9c7e7b,#62666f,#bda7a9,#71433b,#3c2f34
#9e7e81,#1e171d,#c7a2a2,#784b42,#625b66
#ebc5bd,#83767d,#40323c,#b87054,#aea8ab
#766564,#e4c3ae,#3f363d,#b08e7f,#884d3b
#aca7a0,#373038,#d3d1c9,#7b5145,#7b7776
#9e9b95,#332e35,#d0c2b7,#736766,#865745
#78666c,#23191f,#a78b8e,#5d3837,#4a4d58
#cdb0ab,#282228,#6c3932,#8b787c,#585e66
#d1b6ad,#525a68,#29283a,#938081,#825448
#927976,#5d4e4c,#96624b,#bfa19a,#2d262a
#9d827a,#522623,#5c6662,#272126,#c8aca4
#a48a88,#2b2128,#736569,#683936,#cbadab
#887c7a,#1b1824,#753f32,#b79690,#655e65
#ac8984,#231b1f,#6c3627,#8b695e,#534341
#8b6c64,#5d4442,#a9908a,#292023,#656a70
#d9c3b7,#251d22,#9a9793,#5d686d,#6a4036
#b79a9e,#171218,#672d29,#817d89,#4f435f
#a4857a,#754939,#d9bbb3,#351e23,#5c635e
#445067,#a87976,#20191e,#975c4d,#6d7082
#af9b98,#1d1a22,#7d858a,#603229,#5f5960
#ae796a,#7e3e36,#462b2c,#878677,#d9a899
#b87f6e,#673331,#e4b2a6,#914d40,#a0998e
#4a2c2f,#ba8c82,#726e6c,#794135,#211923
#7a847a,#6b5049,#bfac97,#3a3238,#a3765e
#b58f7c,#946d55,#6b422b,#cdaba1,#2b1719
#bf9f96,#9f7d70,#261619,#7b2f21,#764e3b
#714f49,#291c20,#7890a1,#987775,#5f606e
#8c6866,#4b2f2f,#b4938e,#6a271e,#646f6b
#777277,#4b2428,#281c23,#a78986,#7c4c43
#957470,#5b2521,#a19698,#7f3d2d,#55464e
#703a36,#756b6f,#a87f7a,#43282b,#91939a
#8f5952,#421e23,#78221f,#706268,#b4807a
#78534b,#522120,#4c5862,#2e2026,#6c7983
#8e7272,#77423d,#698392,#433138,#bfa1a1
#959293,#1c141a,#c3a099,#5f3634,#995847
#6a4c47,#60757e,#38272c,#977b77,#5f2525
#ad786c,#702e29,#24161b,#a79392,#73676b
#693c37,#4f525a,#94625a,#581518,#27171c
#784f4a,#4d3132,#66656d,#9d7c79,#2a252c
#8e8d94,#2e1d22,#69302c,#a6776d,#625d65
#a3847e,#703929,#322025,#9c9ea2,#7d5e5a
#68463d,#696e7a,#24181a,#5d1d12,#34414e
#b0887f,#341e21,#6f7d7a,#824934,#73616b
#ad7e6b,#742e20,#d5bcae,#462828,#8b7d82
#5a3b3c,#c29a8f,#271a1f,#848886,#916961
#916b67,#1e141b,#652b1f,#626368,#542c2a
#886967,#271d23,#7d7e87,#64302b,#5b5a63
#a47971,#221519,#b7918d,#5e1e1b,#855a53
#927170,#72281a,#767887,#4a2c2f,#835446
#511c1e,#7e6760,#251c22,#72473b,#666a71
#715042,#321b20,#8a6d5c,#ad8e7e,#56302b
#765f5a,#5f4136,#7c858e,#3e2a2c,#9a7d78
#4d5b5d,#65281f,#55506d,#866a6c,#39272b
#7a625f,#5b3b36,#7a858c,#302023,#a48582
#8c5e4b,#4c2425,#7d7a7c,#2c1c23,#793a29
#956f64,#684a45,#7b7b7c,#6c3428,#3b2426
#613730,#969188,#4a696d,#30252c,#cdcbc3
#c1a8a4,#2a1c1e,#682c22,#89827d,#815d57
#bfaea7,#191419,#663521,#907b6d,#50564e
#916f5f,#562b25,#55615e,#28272a,#b2a199
#c6b5b2,#241c20,#b77c68,#80837a,#5f2b23
#85736e,#431e1e,#b99890,#634b49,#949a97
#bfb0a9,#694536,#49584f,#371d1b,#998275
#9c8b8b,#332b30,#cdbbba,#794131,#62686f
#c6b0af,#68372d,#6f635f,#2d191b,#a48a83
#d1c7b2,#98572f,#a89788,#492d26,#ebe8d0
#3e4f4c,#bfaea5,#4e2b27,#847468,#1f1a1f
#af8376,#776f67,#7d382b,#553230,#d1b6ac
#cfc0bb,#495454,#663f36,#918279,#2f282a
#8c736d,#b89c94,#7f3d2e,#535958,#553331
#c7b1a5,#2d1e1f,#5b1413,#897e71,#a1583c
#61665b,#b49a93,#986a55,#6f2f1e,#3c1617
#cfb8af,#6b372c,#666762,#492322,#9e8177
#ba8675,#6d4b44,#8e4538,#f2ccbc,#3c2e31
#a37b62,#7e483b,#6f6b60,#c5a48e,#432533
#a0806d,#4c2623,#d5b2a6,#4f4d43,#7d4f3e
#c69f92,#65685e,#9a7260,#7f3d2c,#44312d
#6b423b,#a86f57,#3d2628,#d99e7e,#87372b
#c89172,#827969,#433f36,#9a5839,#edbda5
#9a6952,#644c3d,#753323,#c08e77,#40211e
#b18f7f,#643123,#766859,#93583d,#41201c
#ba8c74,#2b1c27,#672529,#e3bcaa,#8f5343
#c6998c,#6f372a,#28151b,#e4b8ad,#a16c58
#a1786a,#7a4b40,#878378,#492929,#c9a395
#a1806e,#805e4c,#502e23,#bd9d8a,#7c3723
#96675b,#3e0d14,#b3877e,#7d2b18,#6d3225
#bd9887,#a2564a,#4c3a3e,#d5baaf,#81888d
#c6b193,#747b65,#51342d,#bd8a60,#ded5c0
#d3b5a7,#767660,#a67768,#eddad1,#8c4033
#e1d7cf,#4d393a,#738780,#855148,#b09a8e
#ddd1c5,#b2967f,#493631,#8e5741,#708371
#d4cdc1,#322728,#a1856e,#885645,#869787
#d8c8be,#587b63,#7f5346,#998d86,#4b3d41
#ab8b7a,#cfccc7,#493c3b,#738e82,#8e5648
#dcd1ca,#97715a,#616957,#b1a292,#6e372d
#af8f7c,#cfc0b7,#7f635c,#75897c,#473638
#ddd2cb,#8f6652,#b1a290,#a4523c,#596552
#e1d7d0,#403737,#637e6f,#875a4c,#a99c8c
#e2d5cb,#6c8064,#382a29,#c09e80,#88634f
#dcc9b9,#81473a,#463b3e,#697a6d,#a88774
#b8a890,#362d31,#8f5544,#ddd5cd,#7a7c68
#cfc9c1,#57413f,#82989a,#515a79,#9c8778
#c3b3a6,#7e4639,#697c6b,#e0d4d2,#a4856d
#e2d6cd,#3a2b2f,#b6a28d,#915746,#737463
#ded5cf,#6a775c,#3b302e,#b98663,#b6a992
#5a7766,#815f53,#c2b2a0,#48393e,#955141
#dbcbbd,#9e5540,#392e2c,#909481,#a67f67
#dcc7b6,#2b1f21,#8f3d30,#82937c,#a17560
#9e6d51,#d9cbbd,#312522,#477c69,#56687c
#dcd8d1,#8e725e,#597c66,#423733,#aba398
#22222b,#84958d,#502c2f,#cac0ae,#915c4e
#af907a,#604640,#d5c5b4,#778776,#905849
#dacdc4,#93534f,#372322,#898577,#a94739
#c0a483,#3a2822,#deccb2,#8d6b51,#798267
#693a32,#a48e7a,#6d7c6d,#3a2b2c,#d2c5b6
#c9bcae,#352222,#7b887f,#8a5d50,#454243
#522e2e,#c5beb6,#798578,#8f5c50,#464141
#b49586,#7f4f43,#dcc9c2,#482d2b,#6c6b61
#b6a291,#3c2d2a,#6b7d6e,#d9cdc5,#826558
#9d8476,#72877e,#53403d,#cabba8,#8f4e47
#e0cdbe,#9a6f5f,#483433,#939182,#84423c
#e4dfca,#98785e,#352723,#c3b094,#76503b
#dac9b7,#755851,#989485,#aa7c67,#493736
#947462,#c5b5a6,#4e3331,#975444,#757d73
#b7a99b,#7f5a4e,#443533,#a08572,#dbd1c4
#b79d7f,#312422,#9b6243,#686f4e,#dacdbd
#cfbda9,#281c1d,#6e7b67,#863f2f,#b88865
#a59b8c,#39312f,#d1c6bb,#995c4a,#6f7569
#decdc2,#787c63,#302224,#c99d7a,#864c3b
#5d7e78,#a69084,#3f3739,#844539,#d8cdc7
#d5c8b6,#201b1f,#ac7b57,#6c836d,#6f3b33
#dfcfbe,#876d5d,#593531,#b4664a,#bd9e86
#cfc8bf,#5d7666,#413134,#8a5344,#a18f7b
#b38569,#7b3a30,#3d3635,#d3ccbc,#879382
#b9a28e,#362625,#995f46,#e0d3ca,#736758
#ccbcb4,#382c2a,#767668,#b79179,#9c573b
#9e927d,#262423,#7a3325,#d8cabb,#a66e4a
#dbd4c8,#302322,#6c7c67,#8d533f,#b6a18a
#d9d3c3,#672c28,#4e705e,#b5a68b,#9f6045
#e1d1c4,#b1997e,#65312a,#596850,#9d553e
#cfcec0,#cc9774,#251f21,#4c7b70,#9e4f2f
#d6d1c1,#466d5d,#843c2a,#a3a491,#3d2624
#b5a996,#832a22,#3b4a72,#d4cec1,#618275
#b7a495,#67776c,#a56e57,#613e36,#d2ccc8
#b6a592,#977259,#d8cfbf,#65362c,#6c7964
#997e6e,#d0c4b0,#8c9f90,#564a52,#855244
#ceb39e,#4b3537,#958372,#8da7a0,#976150
#96796b,#ccc6b5,#3b3032,#789389,#8d4d3a
#889e89,#9e8373,#d3c2ac,#493538,#884c44
#b4987c,#221a1a,#919e96,#8b5741,#667d88
#cdbea9,#5a3e3e,#71897e,#384560,#884d3a
#988574,#c7bcaa,#759687,#8b584a,#5d4c4c
#cab6a6,#8f493f,#443b45,#86938d,#9d7568
#d3c3b1,#6c463d,#7c8a71,#b37a5f,#3e383a
#747c5e,#463b37,#b39478,#9a654b,#dccab8
#cabaac,#766054,#788877,#512b29,#a56955
#9f9284,#54725a,#5d4d4d,#d8ceba,#a27258
#ab866c,#934d3d,#64796a,#543934,#cfc1b3
#d6cbc1,#684b47,#66846f,#ac9385,#8b4f41
#b6af99,#957c67,#627966,#6c463c,#dad8ca
#ccbfb2,#4e3835,#718a7b,#997a67,#636c7c
#b7a594,#937560,#d6cdc4,#8c573f,#5e4c47
#bdaa99,#332521,#70776c,#e7dbcf,#a2755e
#aa8867,#dbcdbc,#835d41,#504134,#cfb18d
#b39879,#241d21,#926a4f,#d6c1a4,#5a433b
#dad1c6,#845745,#9f9079,#be7f63,#5a554b
#cdcac9,#372729,#6c6b5a,#b9a68c,#8b5e4a
#bca48e,#806957,#3f3331,#e0d3c6,#894f3e
#ecdfce,#865a4a,#caab90,#9f4c3c,#46312e
#b89b7a,#79af81,#76513f,#84898d,#43a18d
#aea28e,#9f775f,#859b95,#695850,#cdc5b5
#77998f,#8a7065,#c8bba8,#493b3e,#7c8dad
#7b8079,#bb9984,#4a4243,#cec2b6,#8b6253
#dccfc1,#39292b,#834f3c,#66745e,#b8997c
#b38d74,#3d3035,#854c3e,#d3c5ae,#797d78
#707570,#a9aba1,#74473b,#423536,#a37d67
#bc987d,#a16953,#7d846e,#dac3a8,#6e4c46
#9a897b,#725851,#cabaa6,#a96f51,#3f3030
#7a8882,#8a5645,#413739,#b9b1a3,#b68f5e
#c9bfab,#251c1b,#87998e,#78453d,#b77e63
#e1d2bc,#44312d,#b28f72,#7f967c,#8c513a
#a29085,#6c5754,#718980,#312528,#d4ccc3
#6c867e,#c8bdb7,#9e7a69,#5d3e39,#5e5c72
#cabeae,#5b7e7e,#7c382b,#98816f,#554a4b
#aa9680,#5a8a7d,#d2cbc0,#986347,#63493f
#c5a281,#916554,#ddcfc0,#4b3335,#7d9686
#ab8e75,#d6cfbc,#7f554a,#799483,#443736
#cfa882,#6a493c,#d2c6b2,#302224,#917c65
#b28868,#61876d,#443433,#c5c4a8,#864337
#ad907a,#352b2d,#d8cbb3,#725149,#6c917f
#b68969,#729179,#8d4137,#493b38,#b7b396
#b79478,#856354,#829385,#d6c0a7,#483836
#8e7f6d,#36292e,#cda97f,#c7c5b6,#6f4942
#c79974,#422e31,#6c8c7c,#dbcbb3,#906452
#cf9f71,#3b2328,#798870,#8f5442,#d5c1b4
#b28d6f,#7d5549,#d2cbc5,#6b8373,#412a2e
#c09a78,#3a282c,#d3c4be,#6f8d82,#866757
#a3806c,#d1bfac,#544441,#88978a,#7d493d
#bc9d82,#57403f,#d2c5b9,#788f7c,#956556
#698373,#7a463b,#bdb3a7,#a47c62,#402f2d
#9e7a63,#784c3e,#647e64,#c2a48b,#482f2c
#a67f68,#6e4f46,#d6bda3,#809183,#3a3231
#81443b,#d6c7be,#697867,#ae8467,#452c2f
